Date,Year,Type,Country,State,Location,Activity,Sex,Age,Fatal Y/N,Time,Source,Fatal,Activity_Categorized
6th September,2025,Unprovoked,Australia,Nsw,Long Reef Sydney,surfing,M,57,Y,0930hrs,Todd Smith: Andy Currie: Simon De Marchi: Kevin McMurray Trackingsharks.com:,1,surfing
1st September,2025,Unprovoked,United States,Florida,Horseshoe Reef Key Largo,snorkeling,M,8,N,1524hrs,Todd Smith: US SUN: NY Post: The Guardian: People:,0,snorkeling
30th August,2025,Unprovoked,United States,Texas,Galveston,swimming,F,8,N,Not stated,Bob Myatt GSAF : People:,0,swimming
18th August,2025,Unprovoked,Australia,Nsw,Cabarita Beach,surfing,M,28,N,0730hrs,Bob Myatt GSAF The Guardian: 9 News: ABS News: Daily Telegraph:,0,surfing
17th August,2025,Unprovoked,Bahamas,Atlantic Ocean Near Big Grand Cay,North Of Grand Bahama Near Freeport,spearfishing,M,63,N,1300hrs,Ralph Collier GSAF and Kevin MCMurray Trackingsharks.com ,0,fishing
16th August,2025,Provoked,United States,Florida,Cayo Costa Boca Grande,fishing,M,28,N,1055 hrs,Johannes Marchand: Kevin McMurray Trackingsharks.com,0,fishing
7th August,2025,Unprovoked,Australia,Nsw,Tathra Beach,surfing,M,9,N,1630hrs,Bob Myatt GSAF,0,surfing
1st August,2025,Unprovoked,Puerto Rico,Carolina,Carolina Beach,wading,F,39,N,Not stated,Kevin McMurray Trackingsharks.com: NY Post,0,Other
28th July,2025,Unprovoked,Australia,South Australia,Seacliff Beach Adelaide,kayaking,M,19,N,1130hrs,Bob Myatt GSAF: Simon de Marchi:,0,kayaking
25th July,2025,Unprovoked,French Polynesia,Nuku Hiva,Taiohae Bay,swimming,M,7,N,Not stated,Brandyn Gartelman:Kevin McMurray Trackingsharks.com,0,swimming
22nd July,2025,Unprovoked,Spain,Majorca,Playa De Palma Beach,swimming,F,85,N,1130hrs,Bob Myatt GSAF,0,swimming
20th July,2025,Unprovoked,Canary Islands,Fuerteventura,Los Mollinas,surfing (hydrofoiling),M,28,N,PM,Kevin McMurray Trackingsharks.com,0,surfing
19th July,2025,Unprovoked,United States,Florida,Jupiter Inlet Off Jupiter Beach Palm Beach County,diving,M,69,N,Not stated,Brandyn Gartelman: Kevin McMurray Trackingsharks.com NBC 6:,0,Other
18th July,2025,Unprovoked,United States,Florida,New Smyrna Beach,surfing,M,18,N,1150hrs,Brandyn Gartelman: Kevin McMurray Trackingsharks.com; Fox 35,0,surfing
15th July,2025,Unprovoked,Bahamas,Great Abaco Islands,Spanish Cay,spearfishing,M,66,N,Not stated,Kevin McMurray Trackingsharks.com: The Palm Beach Post,0,fishing
6th July ,2025,Provoked,United States,Massachusetts,Hoicks Hollow Nantucket Beach,fishing,M,21,N,Not stated,Johannes Marchand: Nantucket Current,0,fishing
6th July,2025,Unprovoked,United States,Florida,New Smyrna Beach,surfing,M,40,N,1500hrs,Todd Smith:Kevin McMurray Trackingsharks.com: Fox 35:,0,surfing
4th July,2025,Unprovoked,South Africa,Kwazulu-Natal,Mfazazana Hibberdene,fishing,M,37,Y,PM,Kevin McMurray Tracking sharks.com: East Coast Radio,1,fishing
29th June,2025,Unprovoked,Australia,Nsw,Norries Headland Cabarita Beach,swimming,M,16,N,1600,Simon De Marchi: Kevin McMurray Trackingsharks.com: 9 News: Daily Mail:,0,swimming
25th June,2025,Unprovoked,United States,Long Island Ny,Wantagh,swimming,F,20,N,1615 hrs,Scott Curatolo-Wagemann: News 12 Long Island: CNN:,0,swimming
22nd June,2025,Unprovoked,United States,South Carolina,Coligny Beach Hilton Head Island,swimming,F,28,N,1210hrs,Todd Smith: WJCL22 News: The Island Packet: KVNU:,0,swimming
17th June,2025,Unprovoked,United States,South Carolina,Beach Marker 24 Hilton Head Island,swimming,F,12,N,1200hrs,Kevin McMurray Trackingsharks.com: ,0,swimming
2025-06-11 00:00:00,2025,Unprovoked,United States,Florida,Boca Grande,snorkeling,F,9,N,1211 hrs,Kevin McMurray Trackingsharks.com: James Kingsley: Fox 4 News,0,snorkeling
31st May,2025,Unprovoked,United States,California,Montara State Beach,surfing,M,42,N,1400hrs,James Kingsley: The US Sun,0,surfing
2025-05-29 00:00:00,2025,Unprovoked,United States,North Carolina,Sunset Beach,swimming,M,26,N,1100hrs,Kevin McMurray Trackingsharks.com: Clay Crewell:Scott Curatolo-Wageman,0,swimming
2025-05-26 00:00:00,2025,Unprovoked,Vanuatu,South Santo,Espiitu Santo Island,swimming,M,14,Y,pm,Kevin McMurray Trackingsharks.com,1,swimming
2025-05-15 00:00:00,2025,Unprovoked,Australia,South Australia,Port Noarlunga,swimming,M,66,N,0945hrs,Simon DeMarchi: Todd Smith: 9 News:ABC News,0,swimming
